KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
iss	0.005	0.005	0.005	19.422
iss	0.005	0.005	0.008	19.422
iss	0.005	0.005	0.010	19.422
iss	0.005	0.005	0.013	19.422
iss	0.005	0.005	0.015	19.422
iss	0.005	0.008	0.005	0.019
iss	0.005	0.008	0.008	0.019
iss	0.005	0.008	0.010	0.019
iss	0.005	0.008	0.013	0.019
iss	0.005	0.008	0.015	0.019
iss	0.005	0.010	0.005	0.019
iss	0.005	0.010	0.008	0.019
iss	0.005	0.010	0.010	0.013
iss	0.005	0.010	0.013	0.013
iss	0.005	0.010	0.015	0.013
iss	0.005	0.013	0.005	0.019
iss	0.005	0.013	0.008	0.019
iss	0.005	0.013	0.010	0.019
iss	0.005	0.013	0.013	0.001
iss	0.005	0.013	0.015	0.018
iss	0.005	0.015	0.005	19.422
iss	0.005	0.015	0.008	0.000
iss	0.005	0.015	0.010	0.000
iss	0.005	0.015	0.013	0.000
iss	0.005	0.015	0.015	0.000
iss	0.008	0.005	0.005	19.422
iss	0.008	0.005	0.008	19.422
iss	0.008	0.005	0.010	19.422
iss	0.008	0.005	0.013	19.422
