KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
iss	0.020	0.020	0.020	0.331
iss	0.020	0.020	0.040	0.000
iss	0.020	0.020	0.060	0.350
iss	0.020	0.020	0.080	0.000
iss	0.020	0.020	0.100	0.000
iss	0.020	0.040	0.020	0.563
iss	0.020	0.040	0.040	0.362
iss	0.020	0.040	0.060	0.362
iss	0.020	0.040	0.080	0.001
iss	0.020	0.040	0.100	0.324
iss	0.020	0.060	0.020	0.478
iss	0.020	0.060	0.040	0.333
iss	0.020	0.060	0.060	0.430
iss	0.020	0.060	0.080	0.333
iss	0.020	0.060	0.100	0.001
iss	0.020	0.080	0.020	0.492
iss	0.020	0.080	0.040	0.409
iss	0.020	0.080	0.060	0.492
iss	0.020	0.080	0.080	0.492
iss	0.020	0.080	0.100	0.492
iss	0.020	0.100	0.020	0.011
iss	0.020	0.100	0.040	0.011
iss	0.020	0.100	0.060	0.019
iss	0.020	0.100	0.080	0.011
iss	0.020	0.100	0.100	0.011
iss	0.040	0.020	0.020	0.009
iss	0.040	0.020	0.040	0.000
iss	0.040	0.020	0.060	0.350
iss	0.040	0.020	0.080	0.000
iss	0.040	0.020	0.100	0.000
iss	0.040	0.040	0.020	0.563
iss	0.040	0.040	0.040	0.362
iss	0.040	0.040	0.060	0.362
iss	0.040	0.040	0.080	0.001
iss	0.040	0.040	0.100	0.324
iss	0.040	0.060	0.020	0.478
iss	0.040	0.060	0.040	0.333
iss	0.040	0.060	0.060	0.430
iss	0.040	0.060	0.080	0.333
iss	0.040	0.060	0.100	0.001
iss	0.040	0.080	0.020	0.492
iss	0.040	0.080	0.040	0.409
iss	0.040	0.080	0.060	0.492
iss	0.040	0.080	0.080	0.492
iss	0.040	0.080	0.100	0.492
iss	0.040	0.100	0.020	0.011
iss	0.040	0.100	0.040	0.011
iss	0.040	0.100	0.060	0.019
iss	0.040	0.100	0.080	0.011
iss	0.040	0.100	0.100	0.011
iss	0.060	0.020	0.020	0.009
iss	0.060	0.020	0.040	0.000
iss	0.060	0.020	0.060	0.350
iss	0.060	0.020	0.080	0.000
iss	0.060	0.020	0.100	0.000
iss	0.060	0.040	0.020	0.563
iss	0.060	0.040	0.040	0.362
iss	0.060	0.040	0.060	0.362
iss	0.060	0.040	0.080	0.001
iss	0.060	0.040	0.100	0.324
iss	0.060	0.060	0.020	0.478
iss	0.060	0.060	0.040	0.333
iss	0.060	0.060	0.060	0.430
iss	0.060	0.060	0.080	0.333
iss	0.060	0.060	0.100	0.001
iss	0.060	0.080	0.020	0.492
iss	0.060	0.080	0.040	0.409
iss	0.060	0.080	0.060	0.492
iss	0.060	0.080	0.080	0.492
iss	0.060	0.080	0.100	0.492
iss	0.060	0.100	0.020	0.011
iss	0.060	0.100	0.040	0.011
iss	0.060	0.100	0.060	0.019
iss	0.060	0.100	0.080	0.011
iss	0.060	0.100	0.100	0.011
iss	0.080	0.020	0.020	0.009
