KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
iss	0.020	0.020	0.020	0.225
iss	0.020	0.020	0.040	0.424
iss	0.020	0.020	0.060	0.548
iss	0.020	0.020	0.080	0.424
iss	0.020	0.020	0.100	0.424
iss	0.020	0.040	0.020	0.912
iss	0.020	0.040	0.040	0.538
iss	0.020	0.040	0.060	0.538
iss	0.020	0.040	0.080	0.344
iss	0.020	0.040	0.100	0.824
iss	0.020	0.060	0.020	0.674
iss	0.020	0.060	0.040	0.509
iss	0.020	0.060	0.060	0.488
iss	0.020	0.060	0.080	0.509
iss	0.020	0.060	0.100	0.410
iss	0.020	0.080	0.020	0.628
iss	0.020	0.080	0.040	0.613
iss	0.020	0.080	0.060	0.628
iss	0.020	0.080	0.080	0.628
iss	0.020	0.080	0.100	0.628
iss	0.020	0.100	0.020	0.099
iss	0.020	0.100	0.040	0.099
iss	0.020	0.100	0.060	0.123
iss	0.020	0.100	0.080	0.099
iss	0.020	0.100	0.100	0.099
iss	0.040	0.020	0.020	0.225
iss	0.040	0.020	0.040	0.424
iss	0.040	0.020	0.060	0.548
iss	0.040	0.020	0.080	0.424
iss	0.040	0.020	0.100	0.424
iss	0.040	0.040	0.020	0.912
iss	0.040	0.040	0.040	0.538
iss	0.040	0.040	0.060	0.538
iss	0.040	0.040	0.080	0.344
iss	0.040	0.040	0.100	0.824
iss	0.040	0.060	0.020	0.674
iss	0.040	0.060	0.040	0.509
iss	0.040	0.060	0.060	0.488
iss	0.040	0.060	0.080	0.509
iss	0.040	0.060	0.100	0.410
iss	0.040	0.080	0.020	0.628
iss	0.040	0.080	0.040	0.613
iss	0.040	0.080	0.060	0.628
iss	0.040	0.080	0.080	0.628
iss	0.040	0.080	0.100	0.628
iss	0.040	0.100	0.020	0.099
iss	0.040	0.100	0.040	0.099
iss	0.040	0.100	0.060	0.123
iss	0.040	0.100	0.080	0.099
iss	0.040	0.100	0.100	0.099
iss	0.060	0.020	0.020	0.225
iss	0.060	0.020	0.040	0.424
iss	0.060	0.020	0.060	0.548
iss	0.060	0.020	0.080	0.424
iss	0.060	0.020	0.100	0.424
iss	0.060	0.040	0.020	0.912
iss	0.060	0.040	0.040	0.538
iss	0.060	0.040	0.060	0.538
