KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
iss	0.004	0.004	0.004	19.422
iss	0.004	0.004	0.007	19.422
iss	0.004	0.004	0.009	19.422
iss	0.004	0.004	0.011	19.422
iss	0.004	0.004	0.013	19.422
iss	0.004	0.007	0.004	0.019
iss	0.004	0.007	0.007	0.019
iss	0.004	0.007	0.009	0.019
iss	0.004	0.007	0.011	11.084
iss	0.004	0.007	0.013	11.084
iss	0.004	0.009	0.004	0.019
iss	0.004	0.009	0.007	0.019
iss	0.004	0.009	0.009	0.019
iss	0.004	0.009	0.011	0.011
iss	0.004	0.009	0.013	0.011
iss	0.004	0.011	0.004	19.422
iss	0.004	0.011	0.007	19.422
iss	0.004	0.011	0.009	19.422
iss	0.004	0.011	0.011	19.422
iss	0.004	0.011	0.013	19.422
iss	0.004	0.013	0.004	19.422
iss	0.004	0.013	0.007	19.422
iss	0.004	0.013	0.009	19.422
iss	0.004	0.013	0.011	19.422
iss	0.004	0.013	0.013	19.422
iss	0.007	0.004	0.004	19.422
iss	0.007	0.004	0.007	19.422
iss	0.007	0.004	0.009	19.422
iss	0.007	0.004	0.011	19.422
iss	0.007	0.004	0.013	19.422
iss	0.007	0.007	0.004	0.019
iss	0.007	0.007	0.007	0.019
iss	0.007	0.007	0.009	0.019
iss	0.007	0.007	0.011	11.084
iss	0.007	0.007	0.013	11.084
iss	0.007	0.009	0.004	0.019
iss	0.007	0.009	0.007	0.019
iss	0.007	0.009	0.009	0.019
iss	0.007	0.009	0.011	0.011
iss	0.007	0.009	0.013	0.011
iss	0.007	0.011	0.004	19.422
iss	0.007	0.011	0.007	19.422
iss	0.007	0.011	0.009	19.422
iss	0.007	0.011	0.011	19.422
iss	0.007	0.011	0.013	19.422
iss	0.007	0.013	0.004	19.422
iss	0.007	0.013	0.007	19.422
iss	0.007	0.013	0.009	19.422
iss	0.007	0.013	0.011	19.422
iss	0.007	0.013	0.013	19.422
iss	0.009	0.004	0.004	19.422
iss	0.009	0.004	0.007	19.422
iss	0.009	0.004	0.009	19.422
iss	0.009	0.004	0.011	19.422
iss	0.009	0.004	0.013	19.422
iss	0.009	0.007	0.004	0.019
iss	0.009	0.007	0.007	0.019
iss	0.009	0.007	0.009	0.019
iss	0.009	0.007	0.011	11.084
