KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
iss	0.020	0.020	0.020	0.000
iss	0.020	0.020	0.040	0.000
iss	0.020	0.020	0.060	0.001
iss	0.020	0.020	0.080	0.001
iss	0.020	0.020	0.100	0.001
iss	0.020	0.040	0.020	0.284
iss	0.020	0.040	0.040	0.362
iss	0.020	0.040	0.060	0.001
iss	0.020	0.040	0.080	0.001
iss	0.020	0.040	0.100	0.001
iss	0.020	0.060	0.020	0.310
iss	0.020	0.060	0.040	0.001
iss	0.020	0.060	0.060	0.362
iss	0.020	0.060	0.080	0.001
iss	0.020	0.060	0.100	0.000
iss	0.020	0.080	0.020	0.310
iss	0.020	0.080	0.040	0.310
iss	0.020	0.080	0.060	0.398
iss	0.020	0.080	0.080	0.398
iss	0.020	0.080	0.100	0.398
iss	0.020	0.100	0.020	0.398
iss	0.020	0.100	0.040	0.172
iss	0.020	0.100	0.060	0.172
iss	0.020	0.100	0.080	0.172
iss	0.020	0.100	0.100	0.172
iss	0.040	0.020	0.020	0.000
iss	0.040	0.020	0.040	0.000
iss	0.040	0.020	0.060	0.001
iss	0.040	0.020	0.080	0.001
iss	0.040	0.020	0.100	0.001
iss	0.040	0.040	0.020	0.284
iss	0.040	0.040	0.040	0.362
iss	0.040	0.040	0.060	0.001
iss	0.040	0.040	0.080	0.001
iss	0.040	0.040	0.100	0.001
iss	0.040	0.060	0.020	0.310
iss	0.040	0.060	0.040	0.001
iss	0.040	0.060	0.060	0.362
iss	0.040	0.060	0.080	0.001
iss	0.040	0.060	0.100	0.000
iss	0.040	0.080	0.020	0.310
iss	0.040	0.080	0.040	0.310
iss	0.040	0.080	0.060	0.398
iss	0.040	0.080	0.080	0.398
iss	0.040	0.080	0.100	0.398
iss	0.040	0.100	0.020	0.398
iss	0.040	0.100	0.040	0.172
iss	0.040	0.100	0.060	0.172
iss	0.040	0.100	0.080	0.172
iss	0.040	0.100	0.100	0.172
iss	0.060	0.020	0.020	0.000
iss	0.060	0.020	0.040	0.000
iss	0.060	0.020	0.060	0.001
iss	0.060	0.020	0.080	0.001
iss	0.060	0.020	0.100	0.001
iss	0.060	0.040	0.020	0.284
iss	0.060	0.040	0.040	0.362
iss	0.060	0.040	0.060	0.001
iss	0.060	0.040	0.080	0.001
iss	0.060	0.040	0.100	0.001
iss	0.060	0.060	0.020	0.310
iss	0.060	0.060	0.040	0.001
iss	0.060	0.060	0.060	0.362
iss	0.060	0.060	0.080	0.001
iss	0.060	0.060	0.100	0.000
iss	0.060	0.080	0.020	0.310
iss	0.060	0.080	0.040	0.310
iss	0.060	0.080	0.060	0.398
iss	0.060	0.080	0.080	0.398
iss	0.060	0.080	0.100	0.398
iss	0.060	0.100	0.020	0.398
iss	0.060	0.100	0.040	0.172
iss	0.060	0.100	0.060	0.172
iss	0.060	0.100	0.080	0.172
iss	0.060	0.100	0.100	0.172
iss	0.080	0.020	0.020	0.000
iss	0.080	0.020	0.040	0.000
iss	0.080	0.020	0.060	0.001
iss	0.080	0.020	0.080	0.001
iss	0.080	0.020	0.100	0.001
iss	0.080	0.040	0.020	0.284
iss	0.080	0.040	0.040	0.362
iss	0.080	0.040	0.060	0.001
iss	0.080	0.040	0.080	0.001
iss	0.080	0.040	0.100	0.001
iss	0.080	0.060	0.020	0.310
