KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
iss	0.004	0.004	0.004	0.000
iss	0.004	0.004	0.007	0.000
iss	0.004	0.004	0.009	0.000
iss	0.004	0.004	0.011	0.000
iss	0.004	0.004	0.013	0.000
iss	0.004	0.007	0.004	0.000
iss	0.004	0.007	0.007	0.000
iss	0.004	0.007	0.009	0.000
iss	0.004	0.007	0.011	0.000
iss	0.004	0.007	0.013	0.000
iss	0.004	0.009	0.004	0.000
iss	0.004	0.009	0.007	0.000
iss	0.004	0.009	0.009	0.000
iss	0.004	0.009	0.011	0.000
iss	0.004	0.009	0.013	0.000
iss	0.004	0.011	0.004	0.000
iss	0.004	0.011	0.007	0.000
iss	0.004	0.011	0.009	0.000
iss	0.004	0.011	0.011	0.000
iss	0.004	0.011	0.013	0.000
iss	0.004	0.013	0.004	0.000
iss	0.004	0.013	0.007	0.000
iss	0.004	0.013	0.009	0.000
iss	0.004	0.013	0.011	0.000
iss	0.004	0.013	0.013	0.000
iss	0.007	0.004	0.004	0.000
iss	0.007	0.004	0.007	0.000
iss	0.007	0.004	0.009	0.000
iss	0.007	0.004	0.011	0.000
iss	0.007	0.004	0.013	0.000
iss	0.007	0.007	0.004	0.000
iss	0.007	0.007	0.007	0.000
iss	0.007	0.007	0.009	0.000
iss	0.007	0.007	0.011	0.000
iss	0.007	0.007	0.013	0.000
iss	0.007	0.009	0.004	0.000
iss	0.007	0.009	0.007	0.000
iss	0.007	0.009	0.009	0.000
iss	0.007	0.009	0.011	0.000
iss	0.007	0.009	0.013	0.000
iss	0.007	0.011	0.004	0.000
iss	0.007	0.011	0.007	0.000
iss	0.007	0.011	0.009	0.000
iss	0.007	0.011	0.011	0.000
iss	0.007	0.011	0.013	0.000
iss	0.007	0.013	0.004	0.000
iss	0.007	0.013	0.007	0.000
iss	0.007	0.013	0.009	0.000
iss	0.007	0.013	0.011	0.000
iss	0.007	0.013	0.013	0.000
iss	0.009	0.004	0.004	0.000
iss	0.009	0.004	0.007	0.000
iss	0.009	0.004	0.009	0.000
iss	0.009	0.004	0.011	0.000
iss	0.009	0.004	0.013	0.000
iss	0.009	0.007	0.004	0.000
iss	0.009	0.007	0.007	0.000
iss	0.009	0.007	0.009	0.000
iss	0.009	0.007	0.011	0.000
iss	0.009	0.007	0.013	0.000
iss	0.009	0.009	0.004	0.000
iss	0.009	0.009	0.007	0.000
iss	0.009	0.009	0.009	0.000
iss	0.009	0.009	0.011	0.000
