KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
iss	0.020	0.020	0.020	0.021
iss	0.020	0.020	0.040	0.103
iss	0.020	0.020	0.060	0.122
iss	0.020	0.020	0.080	0.103
iss	0.020	0.020	0.100	0.122
iss	0.020	0.040	0.020	0.058
iss	0.020	0.040	0.040	0.142
iss	0.020	0.040	0.060	0.205
iss	0.020	0.040	0.080	0.205
iss	0.020	0.040	0.100	0.282
iss	0.020	0.060	0.020	0.080
iss	0.020	0.060	0.040	0.047
iss	0.020	0.060	0.060	0.047
iss	0.020	0.060	0.080	0.047
iss	0.020	0.060	0.100	0.047
iss	0.020	0.080	0.020	0.062
iss	0.020	0.080	0.040	0.062
iss	0.020	0.080	0.060	0.122
iss	0.020	0.080	0.080	0.122
iss	0.020	0.080	0.100	0.175
iss	0.020	0.100	0.020	0.071
iss	0.020	0.100	0.040	0.071
iss	0.020	0.100	0.060	0.286
iss	0.020	0.100	0.080	0.286
iss	0.020	0.100	0.100	0.286
iss	0.040	0.020	0.020	0.021
iss	0.040	0.020	0.040	0.103
iss	0.040	0.020	0.060	0.122
iss	0.040	0.020	0.080	0.103
iss	0.040	0.020	0.100	0.122
iss	0.040	0.040	0.020	0.058
iss	0.040	0.040	0.040	0.142
iss	0.040	0.040	0.060	0.205
iss	0.040	0.040	0.080	0.205
iss	0.040	0.040	0.100	0.282
iss	0.040	0.060	0.020	0.080
iss	0.040	0.060	0.040	0.047
iss	0.040	0.060	0.060	0.047
iss	0.040	0.060	0.080	0.047
iss	0.040	0.060	0.100	0.047
iss	0.040	0.080	0.020	0.062
iss	0.040	0.080	0.040	0.062
iss	0.040	0.080	0.060	0.122
iss	0.040	0.080	0.080	0.122
iss	0.040	0.080	0.100	0.175
iss	0.040	0.100	0.020	0.071
iss	0.040	0.100	0.040	0.071
iss	0.040	0.100	0.060	0.286
iss	0.040	0.100	0.080	0.286
iss	0.040	0.100	0.100	0.286
iss	0.060	0.020	0.020	0.021
iss	0.060	0.020	0.040	0.103
iss	0.060	0.020	0.060	0.122
iss	0.060	0.020	0.080	0.103
iss	0.060	0.020	0.100	0.122
iss	0.060	0.040	0.020	0.058
iss	0.060	0.040	0.040	0.142
iss	0.060	0.040	0.060	0.205
iss	0.060	0.040	0.080	0.205
iss	0.060	0.040	0.100	0.282
iss	0.060	0.060	0.020	0.080
iss	0.060	0.060	0.040	0.047
iss	0.060	0.060	0.060	0.047
iss	0.060	0.060	0.080	0.047
iss	0.060	0.060	0.100	0.047
iss	0.060	0.080	0.020	0.062
iss	0.060	0.080	0.040	0.062
iss	0.060	0.080	0.060	0.122
iss	0.060	0.080	0.080	0.122
iss	0.060	0.080	0.100	0.175
iss	0.060	0.100	0.020	0.071
iss	0.060	0.100	0.040	0.071
iss	0.060	0.100	0.060	0.286
iss	0.060	0.100	0.080	0.286
iss	0.060	0.100	0.100	0.286
iss	0.080	0.020	0.020	0.021
iss	0.080	0.020	0.040	0.103
iss	0.080	0.020	0.060	0.122
iss	0.080	0.020	0.080	0.103
iss	0.080	0.020	0.100	0.122
iss	0.080	0.040	0.020	0.058
iss	0.080	0.040	0.040	0.142
iss	0.080	0.040	0.060	0.205
iss	0.080	0.040	0.080	0.205
iss	0.080	0.040	0.100	0.282
iss	0.080	0.060	0.020	0.080
iss	0.080	0.060	0.040	0.047
iss	0.080	0.060	0.060	0.047
iss	0.080	0.060	0.080	0.047
iss	0.080	0.060	0.100	0.047
iss	0.080	0.080	0.020	0.062
iss	0.080	0.080	0.040	0.062
iss	0.080	0.080	0.060	0.122
iss	0.080	0.080	0.080	0.122
iss	0.080	0.080	0.100	0.175
iss	0.080	0.100	0.020	0.071
iss	0.080	0.100	0.040	0.071
iss	0.080	0.100	0.060	0.286
iss	0.080	0.100	0.080	0.286
iss	0.080	0.100	0.100	0.286
iss	0.100	0.020	0.020	0.021
iss	0.100	0.020	0.040	0.103
iss	0.100	0.020	0.060	0.122
iss	0.100	0.020	0.080	0.103
iss	0.100	0.020	0.100	0.122
iss	0.100	0.040	0.020	0.058
iss	0.100	0.040	0.040	0.142
iss	0.100	0.040	0.060	0.205
iss	0.100	0.040	0.080	0.205
iss	0.100	0.040	0.100	0.282
iss	0.100	0.060	0.020	0.080
iss	0.100	0.060	0.040	0.047
iss	0.100	0.060	0.060	0.047
iss	0.100	0.060	0.080	0.047
iss	0.100	0.060	0.100	0.047
iss	0.100	0.080	0.020	0.062
iss	0.100	0.080	0.040	0.062
iss	0.100	0.080	0.060	0.122
iss	0.100	0.080	0.080	0.122
iss	0.100	0.080	0.100	0.175
iss	0.100	0.100	0.020	0.071
iss	0.100	0.100	0.040	0.071
iss	0.100	0.100	0.060	0.286
iss	0.100	0.100	0.080	0.286
iss	0.100	0.100	0.100	0.286
us	0.020	0.020	0.020	0.065
us	0.020	0.020	0.040	0.042
us	0.020	0.020	0.060	0.042
us	0.020	0.020	0.080	0.275
us	0.020	0.020	0.100	0.275
us	0.020	0.040	0.020	0.021
us	0.020	0.040	0.040	0.021
us	0.020	0.040	0.060	0.021
us	0.020	0.040	0.080	0.021
us	0.020	0.040	0.100	0.367
us	0.020	0.060	0.020	0.056
us	0.020	0.060	0.040	0.108
us	0.020	0.060	0.060	0.108
us	0.020	0.060	0.080	0.315
us	0.020	0.060	0.100	0.317
us	0.020	0.080	0.020	0.097
us	0.020	0.080	0.040	0.111
us	0.020	0.080	0.060	0.111
us	0.020	0.080	0.080	0.308
us	0.020	0.080	0.100	0.308
us	0.020	0.100	0.020	0.150
us	0.020	0.100	0.040	0.163
us	0.020	0.100	0.060	0.190
us	0.020	0.100	0.080	0.190
us	0.020	0.100	0.100	0.179
us	0.040	0.020	0.020	0.453
us	0.040	0.020	0.040	0.665
us	0.040	0.020	0.060	0.626
us	0.040	0.020	0.080	0.360
us	0.040	0.020	0.100	0.360
us	0.040	0.040	0.020	0.372
us	0.040	0.040	0.040	0.266
us	0.040	0.040	0.060	0.239
us	0.040	0.040	0.080	0.362
us	0.040	0.040	0.100	0.266
us	0.040	0.060	0.020	0.533
us	0.040	0.060	0.040	0.533
us	0.040	0.060	0.060	0.531
us	0.040	0.060	0.080	0.597
us	0.040	0.060	0.100	0.474
us	0.040	0.080	0.020	4.505
us	0.040	0.080	0.040	0.205
us	0.040	0.080	0.060	0.328
us	0.040	0.080	0.080	0.328
us	0.040	0.080	0.100	0.361
us	0.040	0.100	0.020	0.528
us	0.040	0.100	0.040	0.247
us	0.040	0.100	0.060	0.403
us	0.040	0.100	0.080	0.327
us	0.040	0.100	0.100	0.438
us	0.060	0.020	0.020	1.110
us	0.060	0.020	0.040	1.110
us	0.060	0.020	0.060	0.555
us	0.060	0.020	0.080	0.555
us	0.060	0.020	0.100	0.555
us	0.060	0.040	0.020	13.480
us	0.060	0.040	0.040	13.480
us	0.060	0.040	0.060	8.359
us	0.060	0.040	0.080	6.263
us	0.060	0.040	0.100	7.414
us	0.060	0.060	0.020	13.480
us	0.060	0.060	0.040	13.480
us	0.060	0.060	0.060	0.731
us	0.060	0.060	0.080	0.731
us	0.060	0.060	0.100	4.137
us	0.060	0.080	0.020	13.480
us	0.060	0.080	0.040	4.897
us	0.060	0.080	0.060	4.897
us	0.060	0.080	0.080	5.793
us	0.060	0.080	0.100	5.793
us	0.060	0.100	0.020	0.675
us	0.060	0.100	0.040	0.351
us	0.060	0.100	0.060	0.357
us	0.060	0.100	0.080	0.351
us	0.060	0.100	0.100	0.351
us	0.080	0.020	0.020	13.480
us	0.080	0.020	0.040	13.480
us	0.080	0.020	0.060	13.480
us	0.080	0.020	0.080	13.480
us	0.080	0.020	0.100	0.430
us	0.080	0.040	0.020	13.480
us	0.080	0.040	0.040	0.321
us	0.080	0.040	0.060	0.410
us	0.080	0.040	0.080	0.675
us	0.080	0.040	0.100	0.675
us	0.080	0.060	0.020	13.480
us	0.080	0.060	0.040	0.112
us	0.080	0.060	0.060	0.112
