KP_Tipe	KP_RAD	DESC_RAD	INLIER_RAD	DIST(mm)
iss	0.020	0.020	0.020	42.550
iss	0.020	0.020	0.040	0.406
iss	0.020	0.020	0.060	0.406
iss	0.020	0.020	0.080	0.406
iss	0.020	0.020	0.100	3.123
iss	0.020	0.040	0.020	0.488
iss	0.020	0.040	0.040	0.177
iss	0.020	0.040	0.060	0.488
iss	0.020	0.040	0.080	0.488
iss	0.020	0.040	0.100	0.488
iss	0.020	0.060	0.020	0.143
iss	0.020	0.060	0.040	0.143
iss	0.020	0.060	0.060	0.143
iss	0.020	0.060	0.080	0.143
iss	0.020	0.060	0.100	0.143
iss	0.020	0.080	0.020	0.158
iss	0.020	0.080	0.040	0.158
iss	0.020	0.080	0.060	0.158
iss	0.020	0.080	0.080	0.158
iss	0.020	0.080	0.100	0.158
iss	0.020	0.100	0.020	0.132
iss	0.020	0.100	0.040	0.132
iss	0.020	0.100	0.060	0.132
iss	0.020	0.100	0.080	0.132
iss	0.020	0.100	0.100	0.132
iss	0.040	0.020	0.020	0.406
iss	0.040	0.020	0.040	0.406
iss	0.040	0.020	0.060	0.406
iss	0.040	0.020	0.080	0.406
iss	0.040	0.020	0.100	3.123
iss	0.040	0.040	0.020	0.488
iss	0.040	0.040	0.040	0.177
iss	0.040	0.040	0.060	0.488
iss	0.040	0.040	0.080	0.488
iss	0.040	0.040	0.100	0.488
iss	0.040	0.060	0.020	0.143
iss	0.040	0.060	0.040	0.143
iss	0.040	0.060	0.060	0.143
iss	0.040	0.060	0.080	0.143
iss	0.040	0.060	0.100	0.143
iss	0.040	0.080	0.020	0.158
iss	0.040	0.080	0.040	0.158
iss	0.040	0.080	0.060	0.158
iss	0.040	0.080	0.080	0.158
iss	0.040	0.080	0.100	0.158
iss	0.040	0.100	0.020	0.132
iss	0.040	0.100	0.040	0.132
iss	0.040	0.100	0.060	0.132
iss	0.040	0.100	0.080	0.132
iss	0.040	0.100	0.100	0.132
iss	0.060	0.020	0.020	0.406
iss	0.060	0.020	0.040	0.406
iss	0.060	0.020	0.060	0.406
iss	0.060	0.020	0.080	0.406
iss	0.060	0.020	0.100	3.123
iss	0.060	0.040	0.020	0.488
iss	0.060	0.040	0.040	0.177
iss	0.060	0.040	0.060	0.488
iss	0.060	0.040	0.080	0.488
iss	0.060	0.040	0.100	0.488
iss	0.060	0.060	0.020	0.143
iss	0.060	0.060	0.040	0.143
iss	0.060	0.060	0.060	0.143
iss	0.060	0.060	0.080	0.143
iss	0.060	0.060	0.100	0.143
iss	0.060	0.080	0.020	0.158
iss	0.060	0.080	0.040	0.158
iss	0.060	0.080	0.060	0.158
iss	0.060	0.080	0.080	0.158
iss	0.060	0.080	0.100	0.158
iss	0.060	0.100	0.020	0.132
iss	0.060	0.100	0.040	0.132
iss	0.060	0.100	0.060	0.132
iss	0.060	0.100	0.080	0.132
iss	0.060	0.100	0.100	0.132
iss	0.080	0.020	0.020	0.406
iss	0.080	0.020	0.040	0.406
iss	0.080	0.020	0.060	0.406
iss	0.080	0.020	0.080	0.406
iss	0.080	0.020	0.100	3.123
iss	0.080	0.040	0.020	0.488
iss	0.080	0.040	0.040	0.177
iss	0.080	0.040	0.060	0.488
iss	0.080	0.040	0.080	0.488
iss	0.080	0.040	0.100	0.488
iss	0.080	0.060	0.020	0.143
iss	0.080	0.060	0.040	0.143
iss	0.080	0.060	0.060	0.143
iss	0.080	0.060	0.080	0.143
